ID,Type,SKU,"GTIN, UPC, EAN of ISBN",Naam,Gepubliceerd,Uitgelicht?,"Zichtbaarheid in catalogus","Korte beschrijving",Beschrijving,"Startdatum actieprijs","Einddatum actieprijs","Btw status",Belastingklasse,"Op voorraad?",Voorraad,"Lage voorraad","Nabestellingen toestaan?","Wordt individueel verkocht?","Gewicht (kg)","Lengte (cm)","Breedte (cm)","Hoogte (cm)","Klantbeoordelingen toestaan?",Aankoopnotitie,Actieprijs,"Reguliere prijs",Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,"Dagen vervaltijd download",Hoofd,"Gegroepeerde producten",Upsells,Cross-sells,"Externe URL","Knop tekst",Positie,Merken,"Blocksy aangepaste gegevens","Bloksy variatie afbeeldingen","Meta: _wp_page_template","Meta: ekit_post_views_count"
1073,simple,6097329177111,,"Konijn - Helmcover - Motor - Scooter - Universeel - Accessoires",1,0,visible,"Levertijd 1-2 werkdagen","<p class="""" data-start=""160"" data-end=""415""><strong data-start=""160"" data-end=""199"">Stijlvolle bescherming voor je helm</strong><br data-start=""199"" data-end=""202"" />Geef je helm een unieke en persoonlijke uitstraling met onze hoogwaardige stoffen helmcover. Deze cover is ontworpen om niet alleen visueel op te vallen, maar ook praktische voordelen te bieden tijdens het rijden.</p>\n<p class="""" data-start=""417"" data-end=""862"">• <strong data-start=""419"" data-end=""441"">Universele pasvorm</strong> – Dankzij het elastische ontwerp past de cover op de meeste integraalhelmen. Let op: bij systeemhelmen kan het openen beperkt worden.<br data-start=""575"" data-end=""578"" />• <strong data-start=""580"" data-end=""603"">Strakke aansluiting</strong> – De cover sluit nauw aan en blijft stevig op zijn plaats, ook bij hogere snelheden.<br data-start=""688"" data-end=""691"" />• <strong data-start=""693"" data-end=""708"">Beschermend</strong> – Helpt de helm te beschermen tegen krassen, stof en vuil.<br data-start=""767"" data-end=""770"" />• <strong data-start=""772"" data-end=""789"">Geluiddempend</strong> – Vermindert windruis voor een stillere en comfortabelere rijervaring.</p>\n<p class="""" data-start=""864"" data-end=""952""><em data-start=""864"" data-end=""952"">Let op: dit product betreft uitsluitend de helmcover. De helm zelf is niet inbegrepen.</em></p>",,,taxable,,1,15,,0,0,,,,,1,,,"34,95","Alles, Helmcovers","Accessoires, Brommer, Grappig, Helm Cover, Helmen, Helmet Cover, Moped, Motor, Motorcycle, Scooter",,"https://bikerfun.nl/wp-content/uploads/2023/10/Helmcover-bunny.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Bunny-voorkant.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Bunny-on-model.jpg",,,,,,,,,0,,,,default,1403
1082,simple,6097727558505,,"0-100 Real Quick - Sleutelhanger - Motor - Scooter - Auto - Universeel - Accessoires",1,0,visible,"Levertijd 1-3 werkdagen","Op zoek naar een handige sleutelhanger voor je motor, auto, scooter of brommer? Deze sleutelhanger is perfect voor je sleutels. Gemaakt van stof met een verdikte rand en een lange afmeting, zorgt ervoor dat de sleutelhanger makkelijk uit je broekzak/jaszak te halen is, zelfs met handschoenen aan.\n\nBovendien zijn de sleutelhangers voorzien van leuke en unieke teksten die ze extra speciaal maken. Er zijn diverse varianten beschikbaar, elk met een andere tekst. Neem dus zeker een kijkje bij de overige sleutelhangers om de perfecte keuze te vinden die bij jou past.\n\n<strong>Kenmerken:</strong>\n<ul>\n 	<li>Praktisch</li>\n 	<li>Lage prijs</li>\n 	<li>Mooi voor uw sleutelbos!</li>\n 	<li>Binnen 1-2 werkdagen in huis</li>\n 	<li>Afmetingen: 13 x 3 cm</li>\n 	<li>Materiaal: Stof</li>\n</ul>",,,taxable,,1,15,,0,0,,,,,1,,,"6,95",Sleutelhangers,"Auto, Borduren, Creatief, Fiets, Kwaliteit, Leuk, Motor, Scooter, Sleutelbos, Sleutelhanger",0-100gram,https://bikerfun.nl/wp-content/uploads/2023/10/0-100.jpg,,,,,,,,,0,,,,default,630
1123,simple,6097323879875,,"Toothless - Helmcover - Motor - Scooter - Universeel - Accessoires",1,0,visible,"Levertijd 1-2 werkdagen","<p class="""" data-start=""160"" data-end=""415""><strong data-start=""160"" data-end=""199"">Stijlvolle bescherming voor je helm</strong><br data-start=""199"" data-end=""202"" />Geef je helm een unieke en persoonlijke uitstraling met onze hoogwaardige stoffen helmcover. Deze cover is ontworpen om niet alleen visueel op te vallen, maar ook praktische voordelen te bieden tijdens het rijden.</p>\n<p class="""" data-start=""417"" data-end=""862"">• <strong data-start=""419"" data-end=""441"">Universele pasvorm</strong> – Dankzij het elastische ontwerp past de cover op de meeste integraalhelmen. Let op: bij systeemhelmen kan het openen beperkt worden.<br data-start=""575"" data-end=""578"" />• <strong data-start=""580"" data-end=""603"">Strakke aansluiting</strong> – De cover sluit nauw aan en blijft stevig op zijn plaats, ook bij hogere snelheden.<br data-start=""688"" data-end=""691"" />• <strong data-start=""693"" data-end=""708"">Beschermend</strong> – Helpt de helm te beschermen tegen krassen, stof en vuil.<br data-start=""767"" data-end=""770"" />• <strong data-start=""772"" data-end=""789"">Geluiddempend</strong> – Vermindert windruis voor een stillere en comfortabelere rijervaring.</p>\n<p class="""" data-start=""864"" data-end=""952""><em data-start=""864"" data-end=""952"">Let op: dit product betreft uitsluitend de helmcover. De helm zelf is niet inbegrepen.</em></p>",,,taxable,,1,14,,0,0,,,,,1,,,"34,95","Alles, Helmcovers","Accessoires, Brommer, Grappig, Helm Cover, Helmen, Helmet Cover, Moped, Motor, Motorcycle, Scooter",,"https://bikerfun.nl/wp-content/uploads/2023/10/Helmcover-Toothless.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Toothless-on-model.jpg",,,,,,,,,0,,,,default,952
1166,simple,6097348715745,,"Grappige Roze Helmcover - Helmcover - Motor - Scooter - Universeel - Accessoires (kopie)",1,0,visible,"Levertijd 1-2 werkdagen","<p class="""" data-start=""160"" data-end=""415""><strong data-start=""160"" data-end=""199"">Stijlvolle bescherming voor je helm</strong><br data-start=""199"" data-end=""202"" />Geef je helm een unieke en persoonlijke uitstraling met onze hoogwaardige stoffen helmcover. Deze cover is ontworpen om niet alleen visueel op te vallen, maar ook praktische voordelen te bieden tijdens het rijden.</p>\n<p class="""" data-start=""417"" data-end=""862"">• <strong data-start=""419"" data-end=""441"">Universele pasvorm</strong> – Dankzij het elastische ontwerp past de cover op de meeste integraalhelmen. Let op: bij systeemhelmen kan het openen beperkt worden.<br data-start=""575"" data-end=""578"" />• <strong data-start=""580"" data-end=""603"">Strakke aansluiting</strong> – De cover sluit nauw aan en blijft stevig op zijn plaats, ook bij hogere snelheden.<br data-start=""688"" data-end=""691"" />• <strong data-start=""693"" data-end=""708"">Beschermend</strong> – Helpt de helm te beschermen tegen krassen, stof en vuil.<br data-start=""767"" data-end=""770"" />• <strong data-start=""772"" data-end=""789"">Geluiddempend</strong> – Vermindert windruis voor een stillere en comfortabelere rijervaring.</p>\n<p class="""" data-start=""864"" data-end=""952""><em data-start=""864"" data-end=""952"">Let op: dit product betreft uitsluitend de helmcover. De helm zelf is niet inbegrepen.</em></p>",,,taxable,,1,9,,0,0,,,,,1,,,"34,95","Alles, Helmcovers","Accessoires, Brommer, Grappig, Helm Cover, Helmen, Helmet Cover, Moped, Motor, Motorcycle, Scooter",,"https://bikerfun.nl/wp-content/uploads/2023/10/Stitch-Roze.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Stitch-Roze-voorkant.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Stitch-Roze-on-modelv2.jpg",,,,,,,,,0,,,,default,1607
1187,simple,6097329236207,,"Helmcovers - Panda - Helmcover - Motor - Scooter - Universeel - Accessoires",1,0,visible,"Levertijd 1-2 werkdagen","<p class="""" data-start=""160"" data-end=""415""><strong data-start=""160"" data-end=""199"">Stijlvolle bescherming voor je helm</strong><br data-start=""199"" data-end=""202"" />Geef je helm een unieke en persoonlijke uitstraling met onze hoogwaardige stoffen helmcover. Deze cover is ontworpen om niet alleen visueel op te vallen, maar ook praktische voordelen te bieden tijdens het rijden.</p>\n<p class="""" data-start=""417"" data-end=""862"">• <strong data-start=""419"" data-end=""441"">Universele pasvorm</strong> – Dankzij het elastische ontwerp past de cover op de meeste integraalhelmen. Let op: bij systeemhelmen kan het openen beperkt worden.<br data-start=""575"" data-end=""578"" />• <strong data-start=""580"" data-end=""603"">Strakke aansluiting</strong> – De cover sluit nauw aan en blijft stevig op zijn plaats, ook bij hogere snelheden.<br data-start=""688"" data-end=""691"" />• <strong data-start=""693"" data-end=""708"">Beschermend</strong> – Helpt de helm te beschermen tegen krassen, stof en vuil.<br data-start=""767"" data-end=""770"" />• <strong data-start=""772"" data-end=""789"">Geluiddempend</strong> – Vermindert windruis voor een stillere en comfortabelere rijervaring.</p>\n<p class="""" data-start=""864"" data-end=""952""><em data-start=""864"" data-end=""952"">Let op: dit product betreft uitsluitend de helmcover. De helm zelf is niet inbegrepen.</em></p>",,,taxable,,1,24,,0,0,,,,,1,,,"34,95","Alles, Helmcovers","Accessoires, Brommer, Grappig, Helm Cover, Helmen, Helmet Cover, Moped, Motor, Motorcycle, Scooter",,"https://bikerfun.nl/wp-content/uploads/2023/10/Panda-voorkant.webp, https://bikerfun.nl/wp-content/uploads/2023/10/Helmcover-Panda.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Panda-on-model-scaled.webp",,,,,,,,,0,,,,default,416
1190,simple,6097608740753,,"Eend Lucky 8",-1,0,visible,,,,,taxable,,1,3,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_45622_2023-09-19.jpg,,,,,,,,,0,,,,,
1192,simple,1,,Decoratie,-1,0,visible,,,,,taxable,,1,,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/product_None_2023-09-19.jpg,,,,,,,,,0,,,,,
1194,simple,6097638726741,,"Eend Dog",-1,0,visible,,,,,taxable,,1,4,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_45625_2023-09-19.jpg,,,,,,,,,0,,,,,
1196,simple,6097613770776,,"Eend Cobra",-1,0,visible,,,,,taxable,,1,6,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_45623_2023-09-19.jpg,,,,,,,,,0,,,,,
1198,simple,6097603041008,,"Eend Bee",-1,0,visible,,,,,taxable,,1,1,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_45626_2023-09-19.jpg,,,,,,,,,0,,,,,
1200,simple,6097608877848,,"Eend Duck",-1,0,visible,,,,,taxable,,1,4,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_45624_2023-09-19.jpg,,,,,,,,,0,,,,,
1202,simple,6097615456425,,"Eend Riot Helmet",-1,0,visible,,,,,taxable,,1,4,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_45627_2023-09-19.jpg,,,,,,,,,0,,,,,
1204,simple,6097719656615,,"Duivel Hoorns Rood",-1,0,visible,,,,,taxable,,0,0,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_40796_2023-08-24.jpg,,,,,,,,,0,,,,,
1206,simple,6097600026077,,"Duivel Vleugel Rood",-1,0,visible,,,,,taxable,,1,4,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_43874_2023-09-16.jpg,,,,,,,,,0,,,,,
1208,simple,6097742766718,,"Duivel Hoorns Zwart",-1,0,visible,,,,,taxable,,0,0,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_40794_2023-08-24.jpeg,,,,,,,,,0,,,,,
1210,simple,6097610259250,,"Duivel Vleugels Zwart",-1,0,visible,,,,,taxable,,1,3,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_43873_2023-09-16.jpg,,,,,,,,,0,,,,,
1212,simple,6097722558524,,"Duivel Hoorns Wit",-1,0,visible,,,,,taxable,,1,4,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_40795_2023-08-24.jpg,,,,,,,,,0,,,,,
1214,simple,6097622928922,,"Duivel Hoorns Roze",-1,0,visible,,,,,taxable,,0,0,,0,0,,0,0,0,1,,,"0,00",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_43872_2023-09-16.jpg,,,,,,,,,0,,,,,
1216,simple,6097720075092,,"Paars Fade",-1,0,visible,,,,,taxable,,0,0,,0,0,0,0,0,0,1,,,"29,95",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_38153_2023-08-06.png,,,,,,,,,0,,,,,
1218,simple,6097732498445,,Blond,-1,0,visible,,,,,taxable,,1,1,,0,0,0,0,0,0,1,,,"29,95",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_38149_2023-08-06.png,,,,,,,,,0,,,,,
1220,simple,6097716291208,,Rood,-1,0,visible,,,,,taxable,,0,0,,0,0,0,0,0,0,1,,,"29,95",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_38152_2023-08-06.png,,,,,,,,,0,,,,,
1222,simple,6097722777796,,Roze,-1,0,visible,,,,,taxable,,0,0,,0,0,0,0,0,0,1,,,"29,95",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_38150_2023-08-06.png,,,,,,,,,0,,,,,
1224,simple,6097737259249,,Grijs,-1,0,visible,,,,,taxable,,0,0,,0,0,0,0,0,0,1,,,"29,95",Alles,,,https://bikerfun.nl/wp-content/uploads/2023/10/variant_38151_2023-08-06.png,,,,,,,,,0,,,,,
1226,simple,6097718039037,,"Cookie Monster - Helmcover - Motor - Scooter - Universeel - Accessoires",1,0,visible,"Levertijd 1-2 werkdagen","<p class="""" data-start=""160"" data-end=""415""><strong data-start=""160"" data-end=""199"">Stijlvolle bescherming voor je helm</strong><br data-start=""199"" data-end=""202"" />Geef je helm een unieke en persoonlijke uitstraling met onze hoogwaardige stoffen helmcover. Deze cover is ontworpen om niet alleen visueel op te vallen, maar ook praktische voordelen te bieden tijdens het rijden.</p>\n<p class="""" data-start=""417"" data-end=""862"">• <strong data-start=""419"" data-end=""441"">Universele pasvorm</strong> – Dankzij het elastische ontwerp past de cover op de meeste integraalhelmen. Let op: bij systeemhelmen kan het openen beperkt worden.<br data-start=""575"" data-end=""578"" />• <strong data-start=""580"" data-end=""603"">Strakke aansluiting</strong> – De cover sluit nauw aan en blijft stevig op zijn plaats, ook bij hogere snelheden.<br data-start=""688"" data-end=""691"" />• <strong data-start=""693"" data-end=""708"">Beschermend</strong> – Helpt de helm te beschermen tegen krassen, stof en vuil.<br data-start=""767"" data-end=""770"" />• <strong data-start=""772"" data-end=""789"">Geluiddempend</strong> – Vermindert windruis voor een stillere en comfortabelere rijervaring.</p>\n<p class="""" data-start=""864"" data-end=""952""><em data-start=""864"" data-end=""952"">Let op: dit product betreft uitsluitend de helmcover. De helm zelf is niet inbegrepen.</em></p>",,,taxable,,1,28,,0,0,,0,0,0,1,,,"34,95","Alles, Helmcovers","Accessoires, Brommer, Grappig, Helm Cover, Helmen, Helmet Cover, Moped, Motor, Motorcycle, Scooter",,"https://bikerfun.nl/wp-content/uploads/2023/10/variant_40484_2023-08-08.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Elmo-blue-zijkant.jpg, https://bikerfun.nl/wp-content/uploads/2023/10/Elmo-blue-on-model.jpg",,,,,,,,,0,,,,default,498
